Из xml,Класс страницы,Тип страницы,Назначение,"URL красивый, читаемый и привлекательный",Название страницы,Код ответа,Закрыта от индекса,туров на 18.10.25,коммент
https://youtravel.me/tours/,главная,хабовая,Хабовая техническая страница,https://youtravel.me/tours/,Поиск туров и приключений,200,,#N/A,
https://youtravel.me/tours/continent,континенты,континенты,Хабовая техническая страница,https://youtravel.me/tours/continent,Туры по континентам,200,,#N/A,
https://youtravel.me/tours/continent/%D0%B0%D0%B2%D1%81%D1%82%D1%80%D0%B0%D0%BB%D0%B8%D1%8F_%D0%B8_%D0%BE%D0%BA%D0%B5%D0%B0%D0%BD%D0%B8%D1%8F,континенты,континенты,Целевая страница каталога,https://youtravel.me/tours/continent/австралия_и_океания,Туры в Австралию и Океанию,200,,30,
https://youtravel.me/tours/continent/австралия_и_океания/month-apr,континенты,SEO-фильтр,Месяцы - апрель,https://youtravel.me/tours/continent/австралия_и_океания/month-apr,Туры в Австралию и Океанию в апреле,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-aug,континенты,SEO-фильтр,Месяцы - август,https://youtravel.me/tours/continent/австралия_и_океания/month-aug,Туры в Австралию и Океанию в августе,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-dec,континенты,SEO-фильтр,Месяцы - декабрь,https://youtravel.me/tours/continent/австралия_и_океания/month-dec,Туры в Австралию и Океанию в декабре,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-feb,континенты,SEO-фильтр,Месяцы - февраль,https://youtravel.me/tours/continent/австралия_и_океания/month-feb,Туры в Австралию и Океанию в феврале,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-jan,континенты,SEO-фильтр,Месяцы - январь,https://youtravel.me/tours/continent/австралия_и_океания/month-jan,Туры в Австралию и Океанию в январе,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-jul,континенты,SEO-фильтр,Месяцы - июль,https://youtravel.me/tours/continent/австралия_и_океания/month-jul,Туры в Австралию и Океанию в июле,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-jun,континенты,SEO-фильтр,Месяцы - июнь,https://youtravel.me/tours/continent/австралия_и_океания/month-jun,Туры в Австралию и Океанию в июне,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-mar,континенты,SEO-фильтр,Месяцы - март,https://youtravel.me/tours/continent/австралия_и_океания/month-mar,Туры в Австралию и Океанию в марте,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-may,континенты,SEO-фильтр,Месяцы+праздники - май+майские,https://youtravel.me/tours/continent/австралия_и_океания/month-may,Туры в Австралию и Океанию в мае,200,,#N/A,
https://youtravel.me/tours/continent/австралия_и_океания/month-nov,континенты,SEO-фильтр,Месяцы - ноябрь,https://youtravel.me/tours/continent/австралия_и_океания/month-nov,Туры в Австралию и Океанию в ноябре,200,,#N/A,
